phrase,highlight
go ahead and put on Dubstep,Dubstep
hey start Bedroom Pop,Bedroom Pop
go ahead and play Alternative R&B,Alternative R&B
shuffle Pre-Party,Pre-Party
I'd like to listen to the Reggae Classics playlist,Reggae Classics
I really want to hear New Music Friday,New Music Friday
I'd like to listen to the Friday Feeling playlist,Friday Feeling
get the In the Zone playlist going,In the Zone
I wanna hear K-Pop Hits,K-Pop Hits
shuffle Summer Pop for me,Summer Pop
put on Beast Mode right now,Beast Mode
queue up Lofi Beats,Lofi Beats
hey throw on Folk Essentials,Folk Essentials
could you play Christmas Classics,Christmas Classics
I'd like to listen to Soft Rock,Soft Rock
Workout is what I want,Workout
could you play Metal Essentials,Metal Essentials
I want to listen to the Live Acoustic playlist,Live Acoustic
find the Sad Hours playlist and start it,Sad Hours
I feel like hearing Gym Anthems,Gym Anthems
go ahead and play Good Morning,Good Morning
can you play the All Out 90s playlist,All Out 90s
start Jazz Vibes for me,Jazz Vibes
put on the RapCaviar playlist,RapCaviar
switch the playlist to Dance Rising,Dance Rising
hey can you put on Nature Sounds,Nature Sounds
play the EDM Hits playlist,EDM Hits
let's put on Sunday Morning,Sunday Morning
could you put on Mood Booster for me,Mood Booster
All Out 2010s is what I want,All Out 2010s
change to Pre-Party,Pre-Party
throw on Karaoke Night,Karaoke Night
throw on Winter Warmth,Winter Warmth
I'd love to listen to Yoga,Yoga
put on Afters,Afters
hey throw on Afters,Afters
start the Unplugged playlist,Unplugged
play Happy Hits for me,Happy Hits
let me hear Folk Essentials,Folk Essentials
let me put on Emo Forever,Emo Forever
play Good Vibes,Good Vibes
put on Discover Weekly,Discover Weekly
let me hear Rise and Shine,Rise and Shine
get the Cooking Music playlist playing,Cooking Music
I want Techno Bunker on,Techno Bunker
I need Indie Rock right now,Indie Rock
go ahead and start Power Ballads,Power Ballads
queue up the Winter Warmth playlist,Winter Warmth
switch the playlist to Country Gold,Country Gold
hey can you play College Party,College Party
I feel like hearing Indie Rock,Indie Rock
