phrase,highlight
get astronomy domine playing,astronomy domine
let's listen to Breed,Breed
could you start playing Roxanne for me,Roxanne
queue up Kickstart My Heart for me,Kickstart My Heart
i really want to hear Uptown Funk,Uptown Funk
i'd like to hear stairway to heaven,stairway to heaven
i feel like listening to highway to hell,highway to hell
i really want to hear Take Five,Take Five
start playing for whom the bell tolls for me,for whom the bell tolls
start playing Wonderwall for me,Wonderwall
get Riders on the Storm playing,Riders on the Storm
i really want to hear take five,take five
i feel like listening to Enjoy the Silence,Enjoy the Silence
let's listen to Time,Time
let's listen to numb,numb
i really want to hear Dancing Queen,Dancing Queen
let me hear Bleeding Out,Bleeding Out
i'd like to hear purple haze,purple haze
put on Bad Guy right now,Bad Guy
i'd like to hear crosstown traffic,crosstown traffic
i'm in the mood for battery tonight,battery
i'd like to hear You Give Love a Bad Name,You Give Love a Bad Name
find To Live Is to Die and play it,To Live Is to Die
get whole lotta rosie playing,whole lotta rosie
can you play castles made of sand,castles made of sand
get damage inc playing,damage inc
i really want to hear Whole Lotta Rosie,Whole Lotta Rosie
i really want to hear phantom lord,phantom lord
put on my friend of misery right now,my friend of misery
could you start playing Creeping Death for me,Creeping Death
play Believer,Believer
hey throw on Wake Me Up,Wake Me Up
